policy,kind,seed,seed_index,step,sim_time,decision_count,wip,jobs_exited,action,rule,entropy,chosen_prob,p_SPT-SMPT,p_SPT-SRWT,p_LPT-MMUR,p_LPT-SMPT,p_SRT-SRWT,p_SRT-SMPT,p_LRT-MMUR,p_FIFO-SRWT
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,45,227.02,46,10,5,0,SPT-SMPT,2.0519,0.1596,0.1596,0.15387,0.09418,0.0953,0.09118,0.10383,0.15101,0.15103
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,46,230.44,47,10,5,6,LRT-MMUR,2.04645,0.16743,0.15299,0.16324,0.08736,0.11544,0.07949,0.10393,0.16743,0.13012
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,47,234.64,48,10,5,6,LRT-MMUR,2.04814,0.1641,0.15575,0.1619,0.08799,0.11511,0.08004,0.10673,0.1641,0.12839
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,48,234.64,49,10,5,1,SPT-SRWT,2.05137,0.16387,0.15797,0.16387,0.093,0.09415,0.0944,0.10269,0.14459,0.14932
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,49,239.74,50,10,5,1,SPT-SRWT,2.04655,0.1673,0.15239,0.1673,0.08697,0.11498,0.08048,0.10344,0.16408,0.13036
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,50,247.12,51,10,5,1,SPT-SRWT,2.05128,0.16405,0.15805,0.16405,0.09315,0.09419,0.09398,0.10281,0.14456,0.14922
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,51,255.38,52,10,5,1,SPT-SRWT,2.04642,0.16737,0.15238,0.16737,0.08705,0.11501,0.08014,0.10358,0.16416,0.13033
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,52,258.9,53,10,5,1,SPT-SRWT,2.05127,0.164,0.15809,0.164,0.09318,0.09422,0.09386,0.10285,0.14457,0.14923
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,53,279.18,54,8,7,1,SPT-SRWT,2.0504,0.16268,0.16077,0.16268,0.09449,0.09308,0.09145,0.10347,0.14577,0.1483
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,54,286.22,55,8,7,6,LRT-MMUR,2.04532,0.16605,0.15456,0.16605,0.0881,0.11363,0.07815,0.10423,0.16605,0.12924
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,55,294.08,56,8,7,1,SPT-SRWT,2.05037,0.16268,0.16075,0.16268,0.09457,0.09308,0.09131,0.10348,0.14579,0.14835
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,56,301.18,57,7,8,6,LRT-MMUR,2.04896,0.16453,0.15955,0.15196,0.09791,0.0963,0.08026,0.10997,0.16453,0.13951
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,57,303.28,58,7,8,6,LRT-MMUR,2.04498,0.1765,0.15638,0.15359,0.09442,0.10265,0.07554,0.11212,0.1765,0.12881
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,58,308.62,59,7,8,6,LRT-MMUR,2.04448,0.17293,0.15616,0.15882,0.09444,0.10283,0.07419,0.11264,0.17293,0.12798
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,59,319.98,60,7,8,6,LRT-MMUR,2.04802,0.16096,0.15975,0.15795,0.09778,0.09615,0.07879,0.11037,0.16096,0.13825
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,60,328.7,61,7,8,6,LRT-MMUR,2.0489,0.16463,0.15942,0.15192,0.09793,0.09635,0.08013,0.10986,0.16463,0.13977
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,61,331.76,62,7,8,6,LRT-MMUR,2.04833,0.16829,0.1595,0.14696,0.09876,0.0965,0.07885,0.11038,0.16829,0.14077
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,62,340.5,63,7,8,6,LRT-MMUR,2.04411,0.18033,0.15628,0.14894,0.09515,0.10242,0.07435,0.11279,0.18033,0.12974
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,63,353.2,64,7,8,6,LRT-MMUR,2.04719,0.17125,0.15782,0.15387,0.09552,0.10375,0.07589,0.11374,0.17125,0.12815
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,64,353.2,65,7,8,6,LRT-MMUR,2.04917,0.16137,0.1588,0.15616,0.09725,0.09571,0.08155,0.10908,0.16137,0.14008
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,65,353.86,66,7,8,6,LRT-MMUR,2.0492,0.16507,0.1588,0.15091,0.09773,0.09627,0.08101,0.10918,0.16507,0.14102
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,66,354.6,67,7,8,6,LRT-MMUR,2.04853,0.1687,0.15897,0.14613,0.09865,0.09644,0.07947,0.10992,0.1687,0.14172
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,67,362.12,68,7,8,6,LRT-MMUR,2.04442,0.1809,0.15594,0.1479,0.09488,0.10235,0.07528,0.11199,0.1809,0.13076
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,68,363.94,69,7,8,6,LRT-MMUR,2.04841,0.16867,0.15904,0.14627,0.09877,0.09643,0.07915,0.11005,0.16867,0.14161
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,69,364.94,70,7,8,6,LRT-MMUR,2.04727,0.17232,0.15907,0.14149,0.09978,0.09616,0.07756,0.11067,0.17232,0.14294
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,70,371.74,71,7,8,6,LRT-MMUR,2.04307,0.18467,0.1559,0.14355,0.0958,0.10163,0.07384,0.11287,0.18467,0.13176
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,71,372.16,72,7,8,6,LRT-MMUR,2.04431,0.18091,0.15588,0.14798,0.09495,0.10241,0.07501,0.112,0.18091,0.13087
